instance_id,kernel_size,families_per_bucket,top_solutions,TTB,iterations_with_added_variable_counter,added_variables_counter,execution_time,obj_value
instance01,15,5,['80215-0.001153699995484203s'],0.00115,1,5,540.0867,92616
instance02,37,9,['213305-0.001166599991847761s'],0.00117,1,9,540.2340,273901
instance03,55,13,['297281-0.001757299993187189s'],0.00176,6,78,540.5954,717593
instance04,15,5,['72544-0.0012369000032776967s'],0.00124,1,4,540.1080,84423
instance05,28,9,['162676-0.0018448000046191737s'],0.00184,2,18,540.3220,258253
instance06,42,13,['243144-0.0013850000104866922s'],0.00139,6,78,541.2929,685055
instance07,35,11,['205665-0.0028917999879922718s'],0.00289,1,10,540.1939,234226
instance08,69,20,['405772-0.0015765999996801838s'],0.00158,3,56,540.7584,659565
instance09,75,31,['415819-0.0017316000012215227s'],0.00173,8,245,543.3723,1794639
instance10,70,21,['403086-0.0016105000104289502s'],0.00161,2,22,540.3655,491880
instance11,100,41,['574122-0.0023096999939298257s'],0.00231,5,190,541.8092,1326745
instance12,150,60,['879229-0.002574600002844818s'],0.00257,8,479,546.4990,3652847
