instance_id,solver_name,-t,-k,-i,-ni,-is,-mi,-fa,-ks,-r,-wi,-wk,-wa,-wr,-rwa,-swa,-swr,-rwr,building_solution_time,iterations_counter,improvements_counter,-r (restart) counter,improve_top_solution_success_counter,not_improvements_counter,no_families_to_remove_counter,unfeasible_add_random_families_counter,removal_number_values,mean_shaking_time,-mi limit reached,-is limit reached,-fa limit reached,-ks limit reached,reached_k_max_counter,discarded_get_best_neighbor,improvement_failures_counter,improvement_successes_counter,vnd_iterations_counter,mean_get_best_neighbor_time,final_iterations_without_improvement,vnds_k_values_counter,top_solutions,TTB,ITB,max_solutions_distance,initial_solution_obj_value,stopping_cause,execution_time,obj_value
instance09_bucket1,vnds,350.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,1.4163,422967
instance09_bucket2,vnds,350.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,1.7731,597040
instance09_bucket3,vnds,350.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,2.5108,787412
instance09_bucket4,vnds,350.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,3.2083,976333
instance09_bucket5,vnds,350.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,4.2887,1161286
instance09_bucket6,vnds,350.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,5.0721,1342465
instance09_bucket7,vnds,350.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,5.4621,1511080
instance09_bucket8,vnds,350.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,7.5767,1708908
instance09_bucket9,vnds,350.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_cpu_time_limit,352.9841,1794639
instance09_bucket10,vnds,154.83575749999727,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_cpu_time_limit,158.1360,1794639
