instance_id,kernel_size,families_per_bucket,top_solutions,TTB,iterations_with_added_variable_counter,added_variables_counter,execution_time,obj_value
instance01,10,5,"['51206-0.0014203000027919188s', '51206-0.004330900002969429s', '51206-11.717910499995924s', '66816-11.79068499999994s', '71328-11.86540499998955s', '71666-11.897322399992845s', '72152-12.025566500000423s', '72306-14.054107999996631s', '73977-14.893921999988379s', '73977-36.76100870000664s', '74677-39.100724500007345s', '75910-41.517501300011645s', '76239-44.676611800008686s', '77335-45.196087300006184s', '78274-48.61889080000401s', '79082-49.62075000000186s', '79318-49.68625250000332s', '80215-50.97139470001275s']",50.97139,2,7,60.0710,92616
instance02,20,9,"['113451-0.002101200007018633s', '113451-0.00577970000449568s', '113451-15.634260200007702s', '160528-15.688678900012746s', '161019-15.798532000000705s', '161116-15.84668590000365s', '162076-17.800076500003343s', '162942-18.949991600005887s', '164720-20.039387200013152s', '165084-22.968735700007528s', '165545-29.408571900014067s', '165719-30.563745700012078s', '165719-44.69651799999701s', '190323-44.82709700000123s', '207185-45.30421030000434s', '208053-45.557113200004096s', '209191-46.27509019999707s', '209912-50.5336929000041s', '210336-51.227502099995036s', '211470-53.08707670000149s', '212502-57.37386589999369s', '212980-58.5698648999969s', '213305-58.64303419999487s']",58.64303,2,17,60.0229,273901
instance03,30,13,"['164300-0.002818900000420399s', '164300-0.006863799993880093s', '164300-13.414643900017836s', '229482-13.704922100019758s', '230193-14.183371200007969s', '230491-19.803109100015718s', '231308-19.98806620000687s', '231721-24.089616400015075s', '231774-24.826951900016866s', '232432-26.06766920001246s', '232432-42.16800880001392s', '296548-42.2690336000087s', '297001-43.05661970001529s', '297281-57.27511680001044s']",57.27512,2,26,60.1599,717593
instance04,10,5,"['49753-0.0018225000094389543s', '49753-0.005349500002921559s', '49753-12.33127960001002s', '54757-12.402436700009275s', '67969-12.691371599998092s', '68195-16.385704400003306s', '68988-19.659801400004653s', '69733-20.410725399997318s', '70347-21.457887900003698s', '70769-27.21018890000414s', '70800-28.39834179999889s', '71227-36.038968000008026s', '71227-56.995732499999576s', '72544-58.42013989998668s']",58.42014,2,7,60.2216,84423
instance05,20,9,"['114856-0.003391199992620386s', '114856-0.008506899990607053s', '114856-22.025234499989892s', '154550-22.219006899991655s', '155811-22.332174700000905s', '158222-23.036739099989063s', '158829-23.167295299994294s', '159861-23.292151699992246s', '160317-24.311711799993645s', '160404-26.38353159998951s', '160827-32.89738209999632s', '161039-34.96667929999239s', '162676-35.39016709999123s']",35.39017,1,9,60.0843,258253
instance06,30,13,"['172157-0.005606799997622147s', '172157-0.013648699983605184s', '172157-29.181736099999398s', '235832-29.732817199997953s', '236345-30.672381700002006s', '239730-30.87451880000299s', '240908-31.125808199998573s', '241726-53.19337779999478s', '241929-59.14797890000045s', '243144-59.46909909999522s']",59.46910,1,13,60.2028,685055
instance07,25,11,"['151173-0.003343100004713051s', '151173-0.00855549999687355s', '151173-24.600397100002738s', '162755-24.789926600002218s', '182965-25.51970400000573s', '188805-25.672975300010876s', '204060-25.84533480000391s', '204666-29.84217040000658s', '204887-29.98212450000574s', '205463-42.86636550001276s', '205665-47.178746400008094s']",47.17875,1,11,60.1451,234226
instance08,50,20,"['298675-0.007353699998930097s', '298675-0.015154199994867668s', '298675-42.60056530000293s', '357374-42.92270609999832s', '402492-43.21726109999872s', '404289-43.47300030000042s', '404657-47.47003690000565s', '404958-55.740573500006576s', '405772-56.20430080000369s']",56.20430,1,19,60.0563,659565
instance09,75,31,"['415819-0.012122000000090338s', '415819-0.02238989999750629s']",0.01212,0,0,60.2838,1794639
instance10,50,21,"['284003-0.006108999994467013s', '284003-0.013133600004948676s', '284003-36.52188019998721s', '294316-36.780773699996644s', '314355-37.693235299986554s', '331552-38.319525699989754s', '344964-38.60605819999182s', '358741-39.48533819998556s', '373871-40.03857059999427s', '388182-40.67883939998865s', '394438-40.933855799987214s', '398355-41.196622699993895s', '398930-43.06789979999303s', '399193-45.116674899996724s', '400536-45.69156839999778s', '400824-47.35052849998465s', '401457-50.013856899997336s', '403086-52.77369839999301s']",52.77370,1,21,60.4495,491880
instance11,100,41,"['574122-0.013003500003833324s', '574122-0.024229100003140047s']",0.01300,0,0,60.2300,1326745
instance12,150,60,"['879229-0.02161639998666942s', '879229-0.03734869998879731s']",0.02162,0,0,60.6299,3652847
