Item 75 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 76 - ['-0.0000', '-0.0000', '1.0000', '-0.0000', '-0.0000']
Item 77 - ['-0.0000', '1.0000', '-0.0000', '-0.0000', '-0.0000']
Item 78 - ['1.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 79 - ['-0.0000', '-0.0000', '1.0000', '-0.0000', '-0.0000']
Item 80 - ['-0.0000', '1.0000', '-0.0000', '-0.0000', '-0.0000']
Item 81 - ['1.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 82 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '1.0000']
Item 83 - ['1.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 84 - ['1.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 85 - ['-0.0000', '-0.0000', '-0.0000', '1.0000', '-0.0000']
Item 86 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 87 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 88 - ['-838.0034', '-838.0034', '-838.0034', '-838.0034', '-838.0034']
Item 89 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 90 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 91 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 92 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 93 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 94 - ['-146.3119', '-146.3119', '-146.3119', '-146.3119', '-146.3119']
Item 95 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 96 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 97 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 98 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 99 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 100 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 101 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 102 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 103 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 104 - ['-310.8743', '-310.8743', '-310.8743', '-310.8743', '-310.8743']
Item 105 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 106 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 107 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 108 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 109 - ['-0.0000', '0.1411', '-0.0000', '-0.0000', '-0.0000']
Item 110 - ['0.1411', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 111 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '0.1411']
Item 112 - ['-0.0000', '0.1411', '-0.0000', '-0.0000', '-0.0000']
Item 113 - ['-0.0000', '-0.0000', '-0.0000', '0.1411', '-0.0000']
Item 114 - ['0.1411', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 115 - ['-0.0000', '0.1411', '-0.0000', '-0.0000', '-0.0000']
Item 116 - ['0.1411', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 117 - ['-0.0000', '0.1411', '-0.0000', '-0.0000', '-0.0000']
Item 118 - ['-0.0000', '0.1411', '-0.0000', '-0.0000', '-0.0000']
Item 119 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 120 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 121 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 122 - ['-228.0804', '-228.0804', '-228.0804', '-228.0804', '-228.0804']
