INFO | Starting VNDS algorithm
INFO | Initial solution value: 169							0.0007s
INFO | New best solution found: 188							0.2242s
INFO | New best solution found: 249							0.4945s
INFO | New best solution found: 259							0.5710s
INFO | New best solution found: 268							0.6028s
INFO | New best solution found: 269							0.7253s
INFO | New best solution found: 274							3.7466s
INFO | New best solution found: 334							6.1564s
INFO | New best solution found: 348							82.3991s
INFO | New best solution found: 366							136.5594s
CRIT | Time limit reached
