INFO | Starting VNDS algorithm
INFO | Initial solution value: 101							0.0656s
INFO | New best solution found: 116							0.3065s
INFO | New best solution found: 160							1.3129s
INFO | New best solution found: 205							1.4301s
INFO | New best solution found: 216							8.9336s
INFO | New best solution found: 224							25.3072s
INFO | New best solution found: 255							36.6810s
INFO | New best solution found: 264							37.7136s
INFO | New best solution found: 284							39.4713s
INFO | New best solution found: 316							56.5808s
INFO | New best solution found: 328							107.5804s
INFO | New best solution found: 348							406.4068s
CRIT | Time limit reached
