instance_id,solver_name,-t,-k,-i,-ni,-is,-mi,-fa,-ks,-r,-wi,-wk,-wa,-wr,-rwa,-swa,-swr,-rwr,RIMUOVERE-removed-counter,RIMUOVERE-selected-counter,RIMUOVERE-not-selected-counter,RIMUOVERE-try-add-counter,RIMUOVERE-item-to-move-counter,RIMUOVERE-knapsack-selection-counter,building_solution_time,iterations_counter,improvements_counter,improve_top_solution_counter,improve_top_solution_success_counter,not_improvements_counter,no_families_to_remove_counter,unfeasible_add_random_families_counter,removal_number_values,mean_shaking_time,-r (restart) counter,-mi limit reached,-is limit reached,-fa limit reached,-ks limit reached,reached_k_max_counter,discarded_get_best_neighbor,improvement_failures_counter,improvement_successes_counter,vnd_iterations_counter,mean_get_best_neighbor_time,final_iterations_without_improvement,vnds_k_values_counter,top_solutions,TTB,ITB,max_solutions_distance,initial_solution_obj_value,stopping_cause,execution_time,obj_value
instance12_bucket1,vnds,500.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,2.5045,886370
instance12_bucket2,vnds,500.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,3.8073,1236372
instance12_bucket3,vnds,500.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,5.3181,1582573
instance12_bucket4,vnds,500.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,6.1934,1934591
instance12_bucket5,vnds,500.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,7.5688,2278890
instance12_bucket6,vnds,500.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,9.1812,2637792
instance12_bucket7,vnds,500.0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,10.6350,2995876
instance12_bucket8,vnds,493.66946719999396,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_gurobi_optimal,12.0354,3346213
instance12_bucket9,vnds,481.37719079999806,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,{},{},{},{},{},{},0.0000,0,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,{},[],-,-,0,0,stop_cpu_time_limit,486.6847,3684472
