instance_id,solver_name,-t,-k,-i,-ni,-is,-mi,-fa,-ks,-r,-wi,-wk,-wa,-wr,-rwa,-swa,-swr,-rwr,building_solution_time,iterations_counter,improvements_counter,-r (restart) counter,improve_top_solution_success_counter,not_improvements_counter,no_families_to_remove_counter,unfeasible_add_random_families_counter,removal_number_values,mean_shaking_time,-mi limit reached,-is limit reached,-fa limit reached,-ks limit reached,reached_k_max_counter,discarded_get_best_neighbor,improvement_failures_counter,improvement_successes_counter,vnd_iterations_counter,mean_get_best_neighbor_time,final_iterations_without_improvement,vnds_k_values_counter,top_solutions,TTB,ITB,max_solutions_distance,initial_solution_obj_value,stopping_cause,execution_time,obj_value
instance11_bucket1,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,116,0,1,0,116,0,0,"{1: 57, 2: 58}",0.0001,0,1508,0,0,58,15119,1508,6,122,0.0694,116,"{1: 58, 2: 58}",['574122-0.00388s-0'],0.00388,0,0,574122,stop_cpu_time_limit,60.1257,574122
instance11_bucket2,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,76,4,0,0,72,0,0,"{1: 40, 2: 36}",0.0122,0,1055,0,1,36,10614,1055,12,86,0.0977,40,"{1: 40, 2: 36}","['574122-0.00437s-0', '655267-0.51873s-1', '793773-1.23218s-2', '793799-23.36036s-29', '794073-28.34112s-36']",28.34112,36,27,574122,stop_cpu_time_limit,60.1967,794073
instance11_bucket3,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,54,6,0,0,48,0,0,"{1: 30, 2: 24}",0.0341,0,790,0,4,24,7968,790,12,65,0.1287,42,"{1: 30, 2: 24}","['794073-0.00548s-0', '897653-1.80774s-1', '959073-2.66792s-2', '999596-4.28772s-3', '1000862-5.04674s-4', '1001366-13.43716s-11', '1001909-14.02133s-12']",14.02133,12,7,794073,stop_cpu_time_limit,60.2441,1001909
instance11_bucket4,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,42,15,0,0,27,0,21,"{1: 28, 2: 14}",0.1897,0,554,0,41,13,5579,554,9,49,0.1636,19,"{1: 28, 2: 14}","['1001909-0.00886s-0', '1105704-1.09238s-1', '1138417-2.02776s-2', '1147570-2.93189s-3', '1151563-3.89046s-4', '1151762-5.52844s-5', '1165147-6.91818s-6', '1170935-7.92714s-7', '1180389-8.92227s-8', '1189116-15.43628s-12', '1203675-16.44824s-13', '1204811-22.17210s-15', '1208550-23.07900s-16', '1217134-23.89737s-17', '1221607-24.63603s-18', '1221733-32.93327s-23']",32.93327,23,5,1001909,stop_cpu_time_limit,60.4247,1221733
instance11_bucket5,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,28,16,0,0,12,0,101,"{1: 21, 2: 7}",0.7807,0,338,0,129,6,3409,338,7,33,0.2062,0,"{1: 21, 2: 7}","['1221733-0.00884s-0', '1224474-1.67271s-1', '1232264-2.54333s-2', '1236582-4.62934s-3', '1238939-5.51210s-4', '1258788-7.15739s-5', '1260917-11.33751s-6', '1267323-12.44860s-7', '1271645-13.94023s-8', '1275123-16.99206s-9', '1284931-18.39664s-10', '1285790-19.98454s-11', '1295438-26.26705s-14', '1295718-30.86310s-16', '1296788-39.41246s-20', '1297978-59.09848s-27', '1303249-62.34772s-28']",62.34772,28,7,1221733,stop_cpu_time_limit,62.3477,1303249
instance11_bucket6,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,19,3,0,0,16,0,125,"{1: 11, 2: 8}",1.2674,0,309,0,144,8,3116,309,5,24,0.2183,3,"{1: 11, 2: 8}","['1303249-0.00914s-0', '1306529-3.79944s-1', '1308288-19.60127s-7', '1308784-52.42644s-16']",52.42644,16,9,1303249,stop_cpu_time_limit,62.1619,1308784
instance11_bucket7,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,18,2,0,0,16,0,131,"{1: 10, 2: 8}",1.3558,0,288,1,149,8,2902,288,6,22,0.2270,1,"{1: 10, 2: 8}","['1308784-0.01043s-0', '1309355-18.26870s-4', '1309412-58.26552s-17']",58.26552,17,13,1308784,stop_cpu_time_limit,61.4280,1309412
instance11_bucket8,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,18,3,0,0,15,0,163,"{1: 11, 2: 7}",1.6138,0,265,2,181,8,2680,265,5,23,0.2142,3,"{1: 11, 2: 7}","['1309412-0.00948s-0', '1311185-21.88199s-7', '1312080-35.65210s-12', '1312792-46.51371s-15']",46.51371,15,7,1309412,stop_cpu_time_limit,61.3972,1312792
instance11_bucket9,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,19,1,0,0,18,0,182,"{1: 10, 2: 9}",1.7004,0,232,1,201,9,2320,232,1,20,0.2143,18,"{1: 10, 2: 9}","['1312792-0.00952s-0', '1316693-3.78229s-1']",3.78229,1,1,1312792,stop_cpu_time_limit,60.7092,1316693
instance11_bucket10,vnds,33.14240629999949,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,11,1,0,0,10,0,106,"{1: 6, 2: 5}",1.7453,0,136,3,117,5,1360,136,1,12,0.2001,4,"{1: 6, 2: 5}","['1316693-0.00899s-0', '1316737-23.86270s-7']",23.86270,7,7,1316693,stop_cpu_time_limit,34.8372,1316737
