instance_id,solver_name,-t,-k,-i,-ni,-is,-mi,-fa,-ks,-r,-wi,-wk,-wa,-wr,-rwa,-swa,-swr,-rwr,building_solution_time,iterations_counter,improvements_counter,-r (restart) counter,improve_top_solution_success_counter,not_improvements_counter,no_families_to_remove_counter,unfeasible_add_random_families_counter,removal_number_values,mean_shaking_time,-mi limit reached,-is limit reached,-fa limit reached,-ks limit reached,reached_k_max_counter,discarded_get_best_neighbor,improvement_failures_counter,improvement_successes_counter,vnd_iterations_counter,mean_get_best_neighbor_time,final_iterations_without_improvement,vnds_k_values_counter,top_solutions,TTB,ITB,max_solutions_distance,initial_solution_obj_value,stopping_cause,execution_time,obj_value
instance07_bucket1,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,150,0,1,0,150,0,0,"{1: 74, 2: 75}",0.0001,0,1944,0,0,75,19467,1944,9,159,0.0193,150,"{1: 75, 2: 75}",['151173-0.00185s-0'],0.00185,0,0,151173,stop_iterations_without_improvement_limit,21.4880,151173
instance07_bucket2,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,275,11,2,0,264,0,46,"{1: 141, 2: 132}",0.0146,0,3495,0,127,132,35044,3495,16,290,0.0281,143,"{1: 143, 2: 132}","['151173-0.00220s-0', '152240-0.70623s-4', '156101-0.82248s-5', '160348-1.03715s-6', '163697-1.25858s-7', '184125-1.39720s-8', '187967-1.53341s-9', '199105-1.70916s-10', '199191-2.96851s-17', '199609-4.75400s-24', '199889-4.88637s-25', '199988-27.68560s-132']",27.68560,132,107,151173,stop_cpu_time_limit,60.0002,199988
instance07_bucket3,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,95,10,0,0,85,0,1265,"{1: 53, 2: 42}",0.3587,0,1229,30,1360,43,12328,1229,8,103,0.0380,1,"{1: 53, 2: 42}","['199988-0.00248s-0', '204557-0.31449s-1', '207402-2.32931s-6', '207571-3.74005s-9', '208207-11.84740s-20', '209581-19.29583s-29', '210535-46.21354s-72', '211077-47.85838s-75', '211171-52.06547s-82', '211242-54.08443s-85', '211333-59.55230s-94']",59.55230,94,43,199988,stop_cpu_time_limit,60.4787,211333
instance07_bucket4,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,110,3,0,0,107,0,958,"{1: 57, 2: 53}",0.2524,0,1409,16,1068,54,14124,1409,6,116,0.0413,27,"{1: 57, 2: 53}","['211333-0.00232s-0', '212846-2.29802s-5', '213046-30.43978s-56', '213786-44.43816s-83']",44.43816,83,51,211333,stop_cpu_time_limit,60.5420,213786
instance07_bucket5,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,121,1,1,0,120,0,707,"{1: 61, 2: 59}",0.1820,2,1707,7,827,60,17138,1707,16,137,0.0400,14,"{1: 61, 2: 60}","['213786-0.00201s-0', '213852-53.91254s-107']",53.91254,107,107,213786,stop_cpu_time_limit,60.2712,213852
instance07_bucket6,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,102,1,0,0,101,0,1072,"{1: 52, 2: 50}",0.3038,2,1287,23,1174,51,12878,1287,5,107,0.0405,73,"{1: 52, 2: 50}","['213852-0.00177s-0', '215449-18.58215s-29']",18.58215,29,29,213852,stop_cpu_time_limit,60.4079,215449
instance07_bucket7,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,104,3,1,1,101,0,1033,"{1: 53, 2: 50}",0.2920,1,1306,20,1136,50,13079,1306,4,108,0.0408,25,"{1: 53, 2: 51}","['215449-0.00182s-0', '216085-3.79655s-8', '216234-43.99433s-77', '217192-45.45649s-79']",45.45649,79,69,215449,stop_cpu_time_limit,60.1439,217192
instance07_bucket8,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,105,1,1,0,104,0,1138,"{1: 53, 2: 51}",0.3154,0,1296,21,1242,52,12969,1296,2,107,0.0383,22,"{1: 53, 2: 52}","['217192-0.00205s-0', '217280-48.95504s-83']",48.95504,83,83,217192,stop_cpu_time_limit,60.8852,217280
instance07_bucket9,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,112,0,1,0,112,0,1020,"{1: 55, 2: 56}",0.2711,0,1418,18,1131,56,14193,1418,4,116,0.0376,112,"{1: 56, 2: 56}",['217280-0.00178s-0'],0.00178,0,0,217280,stop_cpu_time_limit,60.2525,217280
instance07_bucket10,vnds,60.0,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,96,0,1,0,96,0,1177,"{1: 47, 2: 48}",0.3543,0,1217,24,1272,48,12185,1217,4,100,0.0384,96,"{1: 48, 2: 48}",['217280-0.00184s-0'],0.00184,0,0,217280,stop_cpu_time_limit,60.0950,217280
instance07_bucket11,vnds,34.3015661999998,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,63,0,1,0,63,0,604,"{1: 31, 2: 31}",0.2841,0,768,9,666,32,7680,768,1,64,0.0386,63,"{1: 32, 2: 31}",['217280-0.00214s-0'],0.00214,0,0,217280,stop_cpu_time_limit,34.3979,217280
