instance_id,kernel_size,families_per_bucket,top_solutions,TTB,iterations_with_added_variable_counter,added_variables_counter,execution_time,obj_value
instance01,10,4,"['51206-0.0011008999999830849s', '51206-0.0037307999998574815s', '51206-10.155418600000075s', '65676-10.183467000000064s', '67282-10.218109800000093s', '67546-10.273005900000044s', '67979-10.321797500000002s', '68887-10.377773000000161s', '69679-11.009265600000163s', '70630-11.688964400000032s', '70630-20.130815999999868s', '73412-20.218657099999973s', '74150-20.725067899999885s', '74233-21.180241699999897s', '74530-21.350475699999834s', '74908-30.264003199999934s', '75504-30.692247199999883s', '76371-31.160802199999807s', '77087-33.40462339999999s', '78486-34.21073860000001s', '78941-53.18163419999996s', '79905-54.1390457s', '80394-68.77227759999982s', '80650-75.49216049999995s']",75.49216,2,7,100.2923,92227
instance02,20,8,"['113451-0.002447399999937261s', '113451-0.006850299999996423s', '113451-14.390001299999994s', '140191-14.452893500000073s', '151751-14.571280599999909s', '154634-14.93512399999986s', '155659-18.615987099999984s', '155959-21.861021400000027s', '156192-22.61779260000003s', '157031-22.67377570000008s', '159156-22.884175499999856s', '159439-28.522438499999907s', '159803-29.834159799999952s', '160522-36.11684519999994s', '160522-47.251110900000185s', '188578-47.35488129999999s', '200207-47.50915490000011s', '200706-48.3381746s', '201054-48.81212120000009s', '201717-48.88458340000011s', '202140-49.4216272000001s', '204164-52.143439800000124s', '204518-53.54644330000019s', '204874-55.773439099999905s', '205725-56.90907220000008s', '205725-78.70321090000016s', '218735-78.84162779999997s', '221555-78.96075490000021s', '223472-79.09561699999995s', '231453-80.5465134000001s', '231850-80.75037650000013s', '231936-81.89223940000011s', '233541-84.19512759999998s', '234744-87.1548471000001s', '235848-90.00086170000031s', '236925-94.07353920000014s', '238510-95.42183990000012s', '240218-98.51164289999997s', '241423-98.67985320000025s']",98.67985,3,22,100.0413,275258
instance03,30,12,"['164300-0.0029715000000578584s', '164300-0.008176100000127917s', '164300-13.919982600000367s', '184720-13.994664000000284s', '220885-14.1314653000004s', '222000-14.474320800000442s', '222722-14.88523830000031s', '223440-14.957684800000607s', '223543-15.44760340000039s', '224367-17.311831200000597s', '225646-18.67511900000045s', '225892-19.207363700000315s', '225923-19.283424800000375s', '226324-19.540996200000336s', '226570-22.462028400000236s', '226850-27.74582670000018s', '226850-42.862589300000764s', '285331-42.966772600000695s', '285630-43.57367170000043s', '287435-43.9280959000007s', '287670-44.52580200000057s', '287813-53.37753630000043s', '288093-56.732269100000394s', '288093-75.97380139999996s', '346267-76.08523650000006s', '349307-76.48280890000024s', '349827-78.19879149999997s']",78.19879,3,36,100.1983,712635
instance04,10,4,"['49753-0.0016531000001123175s', '49753-0.0052353999999468215s', '49753-14.986496400000306s', '55541-15.077040399999987s', '65336-15.128367799999978s', '66782-15.411194600000272s', '67301-15.906971100000192s', '67847-23.001201300000048s', '67931-23.438909299999978s', '68011-28.51242930000035s', '68042-30.795786800000315s', '68042-44.05123420000018s', '70724-44.46205120000059s', '71126-44.54749050000055s', '71157-45.67281730000059s', '71473-47.279492600000594s', '71544-53.70899950000057s', '71807-55.00088040000037s', '71847-56.26358120000032s', '73188-66.49457560000019s', '73280-73.29534950000016s', '73716-84.05290860000059s', '73832-85.30779500000017s', '73926-87.17538940000031s']",87.17539,2,7,100.3148,84334
instance05,20,8,"['114856-0.003391899999769521s', '114856-0.0075978999998369545s', '114856-24.990045999999893s', '147177-25.721715199999835s', '149142-25.836497999999665s', '151178-26.096850999999788s', '151840-28.32865899999979s', '152350-34.96450879999975s', '153426-37.55475129999968s', '153652-37.77215679999972s', '153784-41.73152459999983s', '154959-43.774637900000016s', '154959-68.38601609999978s', '182674-68.59394399999974s', '193695-68.86846659999992s', '194827-70.68885839999984s', '196882-71.66783570000007s', '197176-71.93228349999981s', '197423-81.05273719999968s', '197995-82.87591629999997s', '198534-82.99580539999988s', '198683-86.10492599999998s', '199142-92.53280479999967s', '199638-99.65170249999983s']",99.65170,2,16,100.0603,259635
instance06,30,12,"['172157-0.004990399999769579s', '172157-0.011447299999417737s', '172157-32.44781899999907s', '244206-32.6308984999996s', '244540-39.296878399999514s', '245121-40.279337699998905s', '245544-60.33585049999965s', '245843-61.0185778999994s']",61.01858,1,12,100.2311,679619
instance07,25,10,"['151173-0.004579999999805295s', '151173-0.011573400000997935s', '151173-26.10495290000017s', '169735-26.978505699999914s', '177512-27.1233572000001s', '188586-27.87405949999993s', '189872-28.047098500000175s', '192551-28.477403400000185s', '193599-29.351943399999982s', '194284-29.536685000000034s', '195262-31.335694899999908s', '195335-34.009089799999856s', '196015-35.70870780000041s', '196791-35.83291770000051s', '197409-37.50017620000017s', '197651-43.92512820000047s', '197664-47.05577540000013s', '197927-49.15192839999963s', '197927-95.05401960000017s', '203313-96.62641949999943s']",96.62642,2,13,101.1840,231285
instance08,50,20,"['298675-0.0072793999997884384s', '298675-0.016905400000723603s', '298675-43.94887160000053s', '344663-44.291615200000706s', '394860-44.647410700001274s', '407454-44.91046600000118s', '408581-45.15804550000121s', '409663-50.37719940000079s', '409692-86.07848750000085s', '410220-90.53348910000113s', '411093-99.9366796000013s']",99.93668,1,20,100.1898,659565
instance09,75,30,"['415819-0.013017300000683463s', '415819-0.023697399999946356s', '415819-60.76081830000112s', '560498-61.404719700000896s', '563722-61.82346890000099s', '564499-73.25974150000093s', '564878-76.10642670000107s', '565130-79.0044009000012s', '565851-83.74460470000122s', '566108-87.04865220000102s']",87.04865,1,30,100.3078,1785363
instance10,50,20,"['284003-0.006076200000279641s', '284003-0.013347299999622919s', '284003-40.445919400001s', '291684-41.08822800000053s', '298148-41.29740760000095s', '335802-41.747469800000545s', '336693-42.061640500000976s', '390607-43.668285800000376s', '391548-46.810855400000946s', '393571-47.870477100000244s', '393870-49.186972600000445s', '395807-50.09446840000055s', '395921-53.61039500000061s', '396221-59.01043680000021s', '396757-74.16045760000088s', '397595-78.14599050000015s', '397845-78.37323650000053s']",78.37324,1,19,100.1417,487487
instance11,100,40,"['574122-0.013241200000265962s', '574122-0.02516490000016347s']",0.01324,0,0,100.2286,1338479
instance12,150,60,"['879229-0.02337840000018332s', '879229-0.04097860000001674s']",0.02338,0,0,100.3698,3652847
