instance_id,kernel_size,families_per_bucket,top_solutions,TTB,iterations_with_added_variable_counter,added_variables_counter,execution_time,obj_value
instance01,15,4,['80650-0.0016405999999733467s'],0.00164,1,2,500.0814,92227
instance02,42,8,['241423-0.0019879999999830034s'],0.00199,1,6,500.1642,275258
instance03,65,12,['349827-0.0019069999998464482s'],0.00191,5,60,500.8929,712635
instance04,15,4,['73926-0.0034846999997171224s'],0.00348,1,2,500.0964,84334
instance05,35,8,['199638-0.001319099999818718s'],0.00132,2,15,500.4403,259635
instance06,41,12,['245843-0.001385699999445933s'],0.00139,6,72,501.4029,679619
instance07,36,10,['203313-0.008262100000138162s'],0.00826,1,8,500.2048,231285
instance08,69,20,['411093-0.0015914000005068374s'],0.00159,3,56,500.6842,659565
instance09,104,30,['566108-0.0031987000002118293s'],0.00320,7,210,505.4994,1785363
instance10,69,20,['397845-0.0015794000000823871s'],0.00158,1,19,500.3994,487487
instance11,100,40,['574122-0.00240979999944102s'],0.00241,5,193,501.7081,1338479
instance12,150,60,['879229-0.0027615999988483964s'],0.00276,8,479,506.0923,3652847
