instance_id,solver_name,-t,-k,-i,-ni,-is,-mi,-fa,-ks,-r,-wi,-wk,-wa,-wr,-rwa,-swa,-swr,-rwr,building_solution_time,iterations_counter,improvements_counter,-r (restart) counter,improve_top_solution_success_counter,not_improvements_counter,no_families_to_remove_counter,unfeasible_add_random_families_counter,removal_number_values,mean_shaking_time,-mi limit reached,-is limit reached,-fa limit reached,-ks limit reached,reached_k_max_counter,discarded_get_best_neighbor,improvement_failures_counter,improvement_successes_counter,vnd_iterations_counter,mean_get_best_neighbor_time,final_iterations_without_improvement,vnds_k_values_counter,top_solutions,TTB,ITB,max_solutions_distance,initial_solution_obj_value,stopping_cause,execution_time,obj_value
instance04_bucket1,vnds,99.99487379999982,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,150,0,1,0,150,0,0,"{1: 74, 2: 75}",0.0000,1,2412,0,0,75,24306,2412,45,191,0.0111,150,"{1: 75, 2: 75}",['49753-0.00060s-0'],0.00060,0,0,49753,stop_iterations_without_improvement_limit,14.9741,49753
instance04_bucket2,vnds,85.01413240000011,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,338,8,1,0,330,0,4,"{1: 172, 2: 165}",0.0026,0,4555,0,20,165,45726,4555,41,375,0.0108,150,"{1: 173, 2: 165}","['49753-0.00117s-0', '55541-0.09171s-1', '65336-0.14304s-2', '66782-0.42587s-5', '67301-0.92164s-12', '67847-8.01587s-91', '67931-8.45358s-98', '68011-13.52710s-161', '68042-15.81046s-188']",15.81046,188,79,49753,stop_iterations_without_improvement_limit,29.0585,68042
instance04_bucket3,vnds,55.948961900000086,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,169,12,0,0,157,0,2206,"{1: 90, 2: 79}",0.1686,13,2396,61,2375,78,24046,2396,27,194,0.0207,38,"{1: 90, 2: 79}","['68042-0.00081s-0', '70724-0.41163s-1', '71126-0.49707s-2', '71157-1.62239s-5', '71473-3.22907s-10', '71544-9.65857s-27', '71807-10.95046s-30', '71847-12.21316s-35', '73188-22.44415s-71', '73280-29.24492s-92', '73716-40.00248s-121', '73832-41.25737s-124', '73926-43.12496s-131']",43.12496,131,36,68042,stop_cpu_time_limit,56.2576,73926
