instance_id,solver_name,-t,-k,-i,-ni,-is,-mi,-fa,-ks,-r,-wi,-wk,-wa,-wr,-rwa,-swa,-swr,-rwr,building_solution_time,iterations_counter,improvements_counter,-r (restart) counter,improve_top_solution_success_counter,not_improvements_counter,no_families_to_remove_counter,unfeasible_add_random_families_counter,removal_number_values,mean_shaking_time,-mi limit reached,-is limit reached,-fa limit reached,-ks limit reached,reached_k_max_counter,discarded_get_best_neighbor,improvement_failures_counter,improvement_successes_counter,vnd_iterations_counter,mean_get_best_neighbor_time,final_iterations_without_improvement,vnds_k_values_counter,top_solutions,TTB,ITB,max_solutions_distance,initial_solution_obj_value,stopping_cause,execution_time,obj_value
instance02_bucket1,vnds,99.99320140000009,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,150,0,1,0,150,0,0,"{1: 74, 2: 75}",0.0001,2,2542,0,0,75,25647,2542,59,193,0.0100,150,"{1: 75, 2: 75}",['113451-0.00079s-0'],0.00079,0,0,113451,stop_iterations_without_improvement_limit,14.3759,113451
instance02_bucket2,vnds,85.61019660000011,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,402,11,2,1,391,0,0,"{1: 203, 2: 197}",0.0007,0,5641,0,1,194,56664,5641,59,456,0.0101,150,"{1: 205, 2: 197}","['113451-0.00088s-0', '140191-0.06377s-1', '151751-0.18216s-2', '154634-0.54600s-4', '155659-4.22687s-46', '155959-7.47190s-82', '156192-8.22867s-91', '157031-8.28465s-92', '159156-8.49505s-95', '159439-14.13332s-156', '159803-15.44504s-171', '160522-21.72772s-252']",21.72772,252,81,113451,stop_iterations_without_improvement_limit,32.8538,160522
instance02_bucket3,vnds,52.74903910000012,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,218,10,1,0,208,0,5,"{1: 113, 2: 104}",0.0038,0,2971,0,16,104,29804,2971,27,243,0.0181,150,"{1: 114, 2: 104}","['160522-0.00107s-0', '188578-0.10484s-1', '200207-0.25911s-2', '200706-1.08813s-7', '201054-1.56208s-12', '201717-1.63454s-13', '202140-2.17158s-18', '204164-4.89340s-39', '204518-6.29640s-50', '204874-8.52339s-59', '205725-9.65903s-68']",9.65903,68,21,160522,stop_iterations_without_improvement_limit,31.4371,205725
instance02_bucket4,vnds,21.297405000000253,2,0,150,10,100,30,20,80,True,True,True,True,False,False,False,False,0.0000,70,13,0,0,57,0,448,"{1: 41, 2: 29}",0.1104,1,1046,6,517,28,10513,1046,21,87,0.0229,4,"{1: 41, 2: 29}","['205725-0.00178s-0', '218735-0.14019s-1', '221555-0.25932s-2', '223472-0.39418s-3', '231453-1.84508s-8', '231850-2.04894s-9', '231936-3.19081s-14', '233541-5.49369s-19', '234744-8.45341s-28', '235848-11.29943s-37', '236925-15.37210s-51', '238510-16.72041s-54', '240218-19.81021s-65', '241423-19.97842s-66']",19.97842,66,14,205725,stop_cpu_time_limit,21.3276,241423
